name,color,model,price,Màn hình:,Hệ điều hành:,Camera sau:,Camera trước:,Chip:,RAM:,Dung lượng lưu trữ:,SIM:,"Pin, Sạc:",Danh bạ:,Thẻ nhớ:,Radio FM:,Jack cắm tai nghe:,Pin:
Điện thoại Vivo T1x,Xanh,,5.290.000₫ ,"IPS LCD, 6.58"", Full HD+",Android 12,"Chính 50 MP & Phụ 2 MP, 2 MP",8 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 18 W",,,,,
Điện thoại Vivo T1x,Đen,,5.290.000₫ ,"IPS LCD, 6.58"", Full HD+",Android 12,"Chính 50 MP & Phụ 2 MP, 2 MP",8 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 18 W",,,,,
Điện thoại OPPO A76,Đen,,5.190.000₫ ,"IPS LCD, 6.56"", HD+",Android 11,Chính 13 MP & Phụ 2 MP,8 MP,Snapdragon 680,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A76,Xanh lá,,5.190.000₫ ,"IPS LCD, 6.56"", HD+",Android 11,Chính 13 MP & Phụ 2 MP,8 MP,Snapdragon 680,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại Samsung Galaxy A23 5G 4GB,Xanh Dương,4GB,4.890.000₫ ,"IPS LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 695 5G,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A23 5G 4GB,Đen,4GB,4.890.000₫ ,"IPS LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 695 5G,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A23 5G 6GB,Xanh Dương,6GB,4.990.000₫ ,"IPS LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 695 5G,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A23 5G 6GB,Đen,6GB,4.990.000₫ ,"IPS LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 695 5G,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A14 5G,Đỏ đô,,4.690.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 2 MP, 2 MP",13 MP,MediaTek Dimensity 700,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A14 5G,Đen,,4.690.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 2 MP, 2 MP",13 MP,MediaTek Dimensity 700,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A14 5G,Bạc,,4.690.000₫ ,"PLS LCD, 6.6"", Full HD+",Android 13,"Chính 50 MP & Phụ 2 MP, 2 MP",13 MP,MediaTek Dimensity 700,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A23 4GB,Cam,4GB,4.390.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 680,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A23 4GB,Đen,4GB,4.390.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 680,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A23 4GB,Xanh Dương,4GB,4.390.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 680,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A23 6GB,Đen,6GB,4.890.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 680,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A23 6GB,Xanh Dương,6GB,4.890.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 680,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A23 6GB,Cam,6GB,4.890.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Snapdragon 680,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 25 W",,,,,
Điện thoại realme 9i (6GB/128GB),Xanh Dương,,4.590.000₫ ,"IPS LCD, 6.6"", Full HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 680,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại realme 9i (6GB/128GB),Đen,,4.590.000₫ ,"IPS LCD, 6.6"", Full HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 680,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A57 64GB,Đen,64GB,4.090.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 13 MP & Phụ 2 MP,8 MP,MediaTek Helio G35,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A57 64GB,Xanh ngọc,64GB,4.090.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 13 MP & Phụ 2 MP,8 MP,MediaTek Helio G35,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A57 128GB,Đen,128GB,4.390.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 13 MP & Phụ 2 MP,8 MP,MediaTek Helio G35,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A57 128GB,Xanh ngọc,128GB,4.390.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 13 MP & Phụ 2 MP,8 MP,MediaTek Helio G35,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A57 128GB,Vàng,128GB,4.390.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 13 MP & Phụ 2 MP,8 MP,MediaTek Helio G35,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
